	filename	scene_label
0	vocal_imitations/00006_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
0	vocal_imitations/00006_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
1	vocal_imitations/00007_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
1	vocal_imitations/00007_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
2	vocal_imitations/00016_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
2	vocal_imitations/00016_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
3	vocal_imitations/00008_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
3	vocal_imitations/00008_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
4	vocal_imitations/00019_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
4	vocal_imitations/00019_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
5	vocal_imitations/00012_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
5	vocal_imitations/00012_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
6	vocal_imitations/00018_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
6	vocal_imitations/00018_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
7	vocal_imitations/00011_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
7	vocal_imitations/00011_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
8	vocal_imitations/00010_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
8	vocal_imitations/00010_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
9	vocal_imitations/00014_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
9	vocal_imitations/00014_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
10	vocal_imitations/00003_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
10	vocal_imitations/00003_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
11	vocal_imitations/00002_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
11	vocal_imitations/00002_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
12	vocal_imitations/00015_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
12	vocal_imitations/00015_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
13	vocal_imitations/00001_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
13	vocal_imitations/00001_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
14	vocal_imitations/00005_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
14	vocal_imitations/00005_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
15	vocal_imitations/00013_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
15	vocal_imitations/00013_000Animal_Domestic animals_pets_Cat_Growling.wav	000A
16	vocal_imitations/00035_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
16	vocal_imitations/00035_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
17	vocal_imitations/00022_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
17	vocal_imitations/00022_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
18	vocal_imitations/00032_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
18	vocal_imitations/00032_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
19	vocal_imitations/00038_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
19	vocal_imitations/00038_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
20	vocal_imitations/00025_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
20	vocal_imitations/00025_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
21	vocal_imitations/00026_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
21	vocal_imitations/00026_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
22	vocal_imitations/00021_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
22	vocal_imitations/00021_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
23	vocal_imitations/00029_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
23	vocal_imitations/00029_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
24	vocal_imitations/00023_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
24	vocal_imitations/00023_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
25	vocal_imitations/00020_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
25	vocal_imitations/00020_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
26	vocal_imitations/00030_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
26	vocal_imitations/00030_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
27	vocal_imitations/00028_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
27	vocal_imitations/00028_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
28	vocal_imitations/00024_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
28	vocal_imitations/00024_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
29	vocal_imitations/00034_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
29	vocal_imitations/00034_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
30	vocal_imitations/00037_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
30	vocal_imitations/00037_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
31	vocal_imitations/00036_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
31	vocal_imitations/00036_001Animal_Domestic animals_pets_Cat_Hiss.wav	001A
32	vocal_imitations/00043_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
32	vocal_imitations/00043_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
33	vocal_imitations/00046_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
33	vocal_imitations/00046_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
34	vocal_imitations/00042_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
34	vocal_imitations/00042_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
35	vocal_imitations/00041_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
35	vocal_imitations/00041_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
36	vocal_imitations/00048_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
36	vocal_imitations/00048_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
37	vocal_imitations/00058_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
37	vocal_imitations/00058_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
38	vocal_imitations/00053_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
38	vocal_imitations/00053_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
39	vocal_imitations/00054_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
39	vocal_imitations/00054_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
40	vocal_imitations/00052_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
40	vocal_imitations/00052_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
41	vocal_imitations/00051_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
41	vocal_imitations/00051_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
42	vocal_imitations/00045_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
42	vocal_imitations/00045_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
43	vocal_imitations/00040_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
43	vocal_imitations/00040_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
44	vocal_imitations/00039_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
44	vocal_imitations/00039_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
45	vocal_imitations/00047_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
45	vocal_imitations/00047_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
46	vocal_imitations/00057_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
46	vocal_imitations/00057_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
47	vocal_imitations/00055_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
47	vocal_imitations/00055_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
48	vocal_imitations/00056_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
48	vocal_imitations/00056_002Animal_Domestic animals_pets_Cat_Meow.wav	002A
49	vocal_imitations/00069_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
49	vocal_imitations/00069_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
50	vocal_imitations/00068_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
50	vocal_imitations/00068_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
51	vocal_imitations/00073_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
51	vocal_imitations/00073_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
52	vocal_imitations/00074_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
52	vocal_imitations/00074_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
53	vocal_imitations/00062_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
53	vocal_imitations/00062_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
54	vocal_imitations/00061_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
54	vocal_imitations/00061_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
55	vocal_imitations/00059_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
55	vocal_imitations/00059_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
56	vocal_imitations/00064_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
56	vocal_imitations/00064_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
57	vocal_imitations/00071_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
57	vocal_imitations/00071_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
58	vocal_imitations/00065_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
58	vocal_imitations/00065_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
59	vocal_imitations/00063_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
59	vocal_imitations/00063_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
60	vocal_imitations/00075_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
60	vocal_imitations/00075_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
61	vocal_imitations/00072_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
61	vocal_imitations/00072_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
62	vocal_imitations/00066_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
62	vocal_imitations/00066_003Animal_Domestic animals_pets_Cat_Purr.wav	003A
63	vocal_imitations/00084_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
63	vocal_imitations/00084_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
64	vocal_imitations/00082_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
64	vocal_imitations/00082_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
65	vocal_imitations/00078_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
65	vocal_imitations/00078_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
66	vocal_imitations/00088_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
66	vocal_imitations/00088_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
67	vocal_imitations/00076_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
67	vocal_imitations/00076_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
68	vocal_imitations/00085_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
68	vocal_imitations/00085_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
69	vocal_imitations/00093_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
69	vocal_imitations/00093_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
70	vocal_imitations/00095_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
70	vocal_imitations/00095_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
71	vocal_imitations/00094_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
71	vocal_imitations/00094_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
72	vocal_imitations/00079_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
72	vocal_imitations/00079_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
73	vocal_imitations/00086_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
73	vocal_imitations/00086_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
74	vocal_imitations/00081_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
74	vocal_imitations/00081_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
75	vocal_imitations/00087_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
75	vocal_imitations/00087_004Animal_Domestic animals_pets_Dog_Bark.wav	004A
