	filename	positive_pair	negative_pair	scene_label
0	vocal_imitations/00001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/501_199-synth_metallic_stars-commercial_synthesizers.wav	000A
1	vocal_imitations/00002_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/412_110-motorcycle_driving_away-everyday.wav	000A
2	vocal_imitations/00003_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/473_171-subsynth_2160-single_synthesizer.wav	000A
3	vocal_imitations/00004_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/535_233-windgong-acoustic_instruments.wav	000A
4	vocal_imitations/00005_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/213_212Sounds of things_Explosion_Gunshot_gunfire_Cap gun.wav	000A
5	vocal_imitations/00006_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/084_083Music_Musical instrument_Bowed string instrument_Violin_fiddle_Pizzicato.wav	000A
6	vocal_imitations/00007_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/074_073Music_Musical instrument_Accordion.wav	000A
7	vocal_imitations/00008_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/468_166-subsynth_2039-single_synthesizer.wav	000A
8	vocal_imitations/00009_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/491_189-subsynth_4768-single_synthesizer.wav	000A
9	vocal_imitations/00010_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/270_269Sounds of things_Vehicle_Motor vehicle (road)_Truck_Ice cream truck_ice cream van.wav	000A
10	vocal_imitations/00011_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/427_125-person_clearing_throat-everyday.wav	000A
11	vocal_imitations/00012_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/222_221Sounds of things_Liquid_Pour_Trickle_dribble.wav	000A
12	vocal_imitations/00013_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/268_267Sounds of things_Vehicle_Motor vehicle (road)_Truck_Air brake.wav	000A
13	vocal_imitations/00014_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/297_296Source_ambiguous sounds_Generic impact sounds_Whip.wav	000A
14	vocal_imitations/00015_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/339_037-child_coughing-everyday.wav	000A
15	vocal_imitations/00016_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/440_138-rain_falling-everyday.wav	000A
16	vocal_imitations/00017_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/292_291Source_ambiguous sounds_Generic impact sounds_Smash_crash.wav	000A
17	vocal_imitations/00018_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/430_128-person_whistling-everyday.wav	000A
18	vocal_imitations/00019_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/001_000Animal_Domestic animals_pets_Cat_Growling.wav	sound_recordings/271_270Sounds of things_Vehicle_Motor vehicle (road)_Truck_Reversing beeps.wav	000A
19	vocal_imitations/00020_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/111_110Music_Musical instrument_Percussion_Gong.wav	001A
20	vocal_imitations/00021_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/068_067Human sounds_Respiratory sounds_Breathing_Pant.wav	001A
21	vocal_imitations/00022_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/317_015-bassoon-acoustic_instruments.wav	001A
22	vocal_imitations/00023_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/382_080-glass_breaking-everyday.wav	001A
23	vocal_imitations/00024_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/214_213Sounds of things_Explosion_Gunshot_gunfire_Fusillade.wav	001A
24	vocal_imitations/00025_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/178_177Sounds of things_Domestic sounds_home sounds_Door_Slam.wav	001A
25	vocal_imitations/00026_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/067_066Human sounds_Respiratory sounds_Breathing_Gasp.wav	001A
26	vocal_imitations/00027_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/092_091Music_Musical instrument_Harmonica.wav	001A
27	vocal_imitations/00028_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/197_196Sounds of things_Domestic sounds_home sounds_Water tap_faucet.wav	001A
28	vocal_imitations/00029_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/002_001Animal_Domestic animals_pets_Cat_Hiss.wav	sound_recordings/046_045Human sounds_Human group actions_Booing.wav	001A
