	filename	positive_pair	negative_pair	scene_label
0	vocal_imitations/abyss of despair - 4635775366856704.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/guitar.wav	abyss of despair
1	vocal_imitations/abyss of despair - 4752448690323456.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/orbit_station.wav	abyss of despair
2	vocal_imitations/abyss of despair - 4946092525355008.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/abyss_of_despair.wav	abyss of despair
3	vocal_imitations/abyss of despair - 5115103783419904.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/cello_bowed.wav	abyss of despair
4	vocal_imitations/abyss of despair - 5116242755059712.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/subsynth_9879.wav	abyss of despair
5	vocal_imitations/abyss of despair - 5322562112323584.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/thaigong.wav	abyss of despair
6	vocal_imitations/abyss of despair - 5366690216935424.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/subsynth_1828.wav	abyss of despair
7	vocal_imitations/abyss of despair - 5516281780371456.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/metaloid.wav	abyss of despair
8	vocal_imitations/abyss of despair - 5559283529809920.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/subsynth_2002.wav	abyss of despair
9	vocal_imitations/abyss of despair - 5638203017003008.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/clarinet.wav	abyss of despair
10	vocal_imitations/abyss of despair - 5660460074401792.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/hihat.wav	abyss of despair
11	vocal_imitations/abyss of despair - 5735205390254080.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/soft_shimmer.wav	abyss of despair
12	vocal_imitations/abyss of despair - 5756773239619584.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/viola_bowed.wav	abyss of despair
13	vocal_imitations/abyss of despair - 6195999949193216.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/oboe.wav	abyss of despair
14	vocal_imitations/abyss of despair - 6221716871184384.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/subsynth_2013.wav	abyss of despair
15	vocal_imitations/abyss of despair - 6245189806981120.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/violin_plucked.wav	abyss of despair
16	vocal_imitations/abyss of despair - 6289698955722752.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/horn.wav	abyss of despair
17	vocal_imitations/abyss of despair - 6513178586382336.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/thick_bass.wav	abyss of despair
18	vocal_imitations/abyss of despair - 6595069788291072.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/subsynth_2002.wav	abyss of despair
19	vocal_imitations/abyss of despair - 6623736547508224.wav	sound_recordings/abyss_of_despair.wav	sound_recordings/subsynth_2186.wav	abyss of despair
20	vocal_imitations/air machine - 5651276360581120.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_2013.wav	air machine
21	vocal_imitations/air machine - 6467704814829568.wav	sound_recordings/air_machine.wav	sound_recordings/clarinet.wav	air machine
22	vocal_imitations/air machine - 6221044574584832.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_2043.wav	air machine
23	vocal_imitations/air machine - 5411865354043392.wav	sound_recordings/air_machine.wav	sound_recordings/resonant_clouds.wav	air machine
24	vocal_imitations/air machine - 6143065685229568.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_2198.wav	air machine
25	vocal_imitations/air machine - 5203769893584896.wav	sound_recordings/air_machine.wav	sound_recordings/subsynth_2002.wav	air machine
