	filename	scene_label
0	vocal_imitations/abyss of despair - 5116242755059712.wav	abyss of despair
0	vocal_imitations/abyss of despair - 5116242755059712.wav	abyss of despair
1	vocal_imitations/abyss of despair - 4946092525355008.wav	abyss of despair
1	vocal_imitations/abyss of despair - 4946092525355008.wav	abyss of despair
2	vocal_imitations/abyss of despair - 6595069788291072.wav	abyss of despair
2	vocal_imitations/abyss of despair - 6595069788291072.wav	abyss of despair
3	vocal_imitations/abyss of despair - 5516281780371456.wav	abyss of despair
3	vocal_imitations/abyss of despair - 5516281780371456.wav	abyss of despair
4	vocal_imitations/abyss of despair - 5735205390254080.wav	abyss of despair
4	vocal_imitations/abyss of despair - 5735205390254080.wav	abyss of despair
5	vocal_imitations/abyss of despair - 4752448690323456.wav	abyss of despair
5	vocal_imitations/abyss of despair - 4752448690323456.wav	abyss of despair
6	vocal_imitations/abyss of despair - 5366690216935424.wav	abyss of despair
6	vocal_imitations/abyss of despair - 5366690216935424.wav	abyss of despair
7	vocal_imitations/abyss of despair - 6195999949193216.wav	abyss of despair
7	vocal_imitations/abyss of despair - 6195999949193216.wav	abyss of despair
8	vocal_imitations/abyss of despair - 6289698955722752.wav	abyss of despair
8	vocal_imitations/abyss of despair - 6289698955722752.wav	abyss of despair
9	vocal_imitations/abyss of despair - 6221716871184384.wav	abyss of despair
9	vocal_imitations/abyss of despair - 6221716871184384.wav	abyss of despair
10	vocal_imitations/abyss of despair - 6513178586382336.wav	abyss of despair
10	vocal_imitations/abyss of despair - 6513178586382336.wav	abyss of despair
11	vocal_imitations/abyss of despair - 6245189806981120.wav	abyss of despair
11	vocal_imitations/abyss of despair - 6245189806981120.wav	abyss of despair
12	vocal_imitations/abyss of despair - 5638203017003008.wav	abyss of despair
12	vocal_imitations/abyss of despair - 5638203017003008.wav	abyss of despair
13	vocal_imitations/abyss of despair - 5559283529809920.wav	abyss of despair
13	vocal_imitations/abyss of despair - 5559283529809920.wav	abyss of despair
14	vocal_imitations/abyss of despair - 5660460074401792.wav	abyss of despair
14	vocal_imitations/abyss of despair - 5660460074401792.wav	abyss of despair
15	vocal_imitations/abyss of despair - 5115103783419904.wav	abyss of despair
15	vocal_imitations/abyss of despair - 5115103783419904.wav	abyss of despair
16	vocal_imitations/abyss of despair - 6623736547508224.wav	abyss of despair
16	vocal_imitations/abyss of despair - 6623736547508224.wav	abyss of despair
17	vocal_imitations/air machine - 5478047444631552.wav	air machine
17	vocal_imitations/air machine - 5478047444631552.wav	air machine
18	vocal_imitations/air machine - 5362150436503552.wav	air machine
18	vocal_imitations/air machine - 5362150436503552.wav	air machine
19	vocal_imitations/air machine - 5411865354043392.wav	air machine
19	vocal_imitations/air machine - 5411865354043392.wav	air machine
20	vocal_imitations/air machine - 5203769893584896.wav	air machine
20	vocal_imitations/air machine - 5203769893584896.wav	air machine
21	vocal_imitations/air machine - 6221044574584832.wav	air machine
21	vocal_imitations/air machine - 6221044574584832.wav	air machine
22	vocal_imitations/air machine - 6467704814829568.wav	air machine
